STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",2/2/24,0,,56,41
USW00024234,"SEATTLE BOEING FIELD, WA US",2/3/24,0,,51,38
USW00024234,"SEATTLE BOEING FIELD, WA US",2/4/24,0,,51,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2/5/24,0,,46,42
USW00024234,"SEATTLE BOEING FIELD, WA US",2/6/24,0.04,,47,42
USW00024234,"SEATTLE BOEING FIELD, WA US",2/7/24,0,,50,40
USW00024234,"SEATTLE BOEING FIELD, WA US",2/8/24,0,,47,41
USW00024234,"SEATTLE BOEING FIELD, WA US",2/9/24,0,,48,34
USW00024234,"SEATTLE BOEING FIELD, WA US",2/10/24,0,,50,34
USW00024234,"SEATTLE BOEING FIELD, WA US",2/11/24,0.1,,54,42
USW00024234,"SEATTLE BOEING FIELD, WA US",2/12/24,0.06,,50,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2/13/24,0,,50,38
USW00024234,"SEATTLE BOEING FIELD, WA US",2/14/24,0.05,,50,37
USW00024234,"SEATTLE BOEING FIELD, WA US",2/15/24,0.46,,42,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/16/24,0,,51,29
USW00024234,"SEATTLE BOEING FIELD, WA US",2/17/24,0,,55,36
USW00024234,"SEATTLE BOEING FIELD, WA US",2/18/24,0,,50,40
USW00024234,"SEATTLE BOEING FIELD, WA US",2/19/24,0.01,,48,38
USW00024234,"SEATTLE BOEING FIELD, WA US",2/20/24,0.02,,55,42
USW00024234,"SEATTLE BOEING FIELD, WA US",2/21/24,0.13,,52,44
USW00024234,"SEATTLE BOEING FIELD, WA US",2/22/24,0,,57,41
USW00024234,"SEATTLE BOEING FIELD, WA US",2/23/24,0,,51,35
USW00024234,"SEATTLE BOEING FIELD, WA US",2/24/24,0,,51,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2/25/24,0,,52,38
USW00024234,"SEATTLE BOEING FIELD, WA US",2/26/24,0.02,,47,32
USW00024234,"SEATTLE BOEING FIELD, WA US",2/27/24,0,,47,28
USW00024234,"SEATTLE BOEING FIELD, WA US",2/28/24,0.75,,51,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2/29/24,0.21,,44,34
USW00024234,"SEATTLE BOEING FIELD, WA US",3/1/24,0.13,,42,36
USW00024234,"SEATTLE BOEING FIELD, WA US",3/2/24,0.05,,45,36
USW00024234,"SEATTLE BOEING FIELD, WA US",3/3/24,0,,44,35
USW00024234,"SEATTLE BOEING FIELD, WA US",3/4/24,0.32,,46,32
USW00024234,"SEATTLE BOEING FIELD, WA US",3/5/24,0,,46,32
USW00024234,"SEATTLE BOEING FIELD, WA US",3/6/24,0,,45,27
USW00024234,"SEATTLE BOEING FIELD, WA US",3/7/24,0,,48,27
USW00024234,"SEATTLE BOEING FIELD, WA US",3/8/24,0,,55,32
USW00024234,"SEATTLE BOEING FIELD, WA US",3/9/24,0.03,,55,41
USW00024234,"SEATTLE BOEING FIELD, WA US",3/10/24,0.24,,51,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/11/24,0.09,,51,40
USW00024234,"SEATTLE BOEING FIELD, WA US",3/12/24,0.14,,51,42
USW00024234,"SEATTLE BOEING FIELD, WA US",3/13/24,0,,54,41
USW00024234,"SEATTLE BOEING FIELD, WA US",3/14/24,0,,56,35
USW00024234,"SEATTLE BOEING FIELD, WA US",3/15/24,0,,60,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/16/24,0,,74,42
USW00024234,"SEATTLE BOEING FIELD, WA US",3/17/24,0,,71,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/18/24,0,,65,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/19/24,0,,68,42
USW00024234,"SEATTLE BOEING FIELD, WA US",3/20/24,0,,53,47
USW00024234,"SEATTLE BOEING FIELD, WA US",3/21/24,0.1,,59,47
USW00024234,"SEATTLE BOEING FIELD, WA US",3/22/24,0.12,,55,49
USW00024234,"SEATTLE BOEING FIELD, WA US",3/23/24,0.01,,53,48
USW00024234,"SEATTLE BOEING FIELD, WA US",3/24/24,0,,60,48
USW00024234,"SEATTLE BOEING FIELD, WA US",3/25/24,0,,53,48
USW00024234,"SEATTLE BOEING FIELD, WA US",3/26/24,0,,57,47
USW00024234,"SEATTLE BOEING FIELD, WA US",3/27/24,0.43,,57,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/28/24,0.22,,55,42
USW00024234,"SEATTLE BOEING FIELD, WA US",3/29/24,0,,59,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/30/24,0,,59,41
USW00024234,"SEATTLE BOEING FIELD, WA US",3/31/24,0,,63,40
USW00024234,"SEATTLE BOEING FIELD, WA US",4/1/24,0,,63,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/2/24,0.19,,68,46
USW00024234,"SEATTLE BOEING FIELD, WA US",4/3/24,0.02,,54,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/4/24,0,,48,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/5/24,0,,53,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/6/24,0,,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/7/24,0.02,,55,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/8/24,0,,55,42
USW00024234,"SEATTLE BOEING FIELD, WA US",4/9/24,0.01,,57,48
USW00024234,"SEATTLE BOEING FIELD, WA US",4/10/24,0,,61,42
USW00024234,"SEATTLE BOEING FIELD, WA US",4/11/24,0,,57,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/12/24,0,,58,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/13/24,0,,62,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/14/24,0,,68,41
USW00024234,"SEATTLE BOEING FIELD, WA US",4/15/24,0,,56,46
USW00024234,"SEATTLE BOEING FIELD, WA US",4/16/24,0.02,,54,40
USW00024234,"SEATTLE BOEING FIELD, WA US",4/17/24,0,,60,35
USW00024234,"SEATTLE BOEING FIELD, WA US",4/18/24,0,,64,36
USW00024234,"SEATTLE BOEING FIELD, WA US",4/19/24,0,,70,42
USW00024234,"SEATTLE BOEING FIELD, WA US",4/20/24,0,,74,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/21/24,0,,59,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/22/24,0,,61,45
USW00024234,"SEATTLE BOEING FIELD, WA US",4/23/24,0,,72,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/24/24,0,,56,48
USW00024234,"SEATTLE BOEING FIELD, WA US",4/25/24,0.2,,55,50
USW00024234,"SEATTLE BOEING FIELD, WA US",4/26/24,0.03,,64,51
USW00024234,"SEATTLE BOEING FIELD, WA US",4/27/24,0.02,,54,49
USW00024234,"SEATTLE BOEING FIELD, WA US",4/28/24,0.01,,55,46
USW00024234,"SEATTLE BOEING FIELD, WA US",4/29/24,0.25,,55,41
USW00024234,"SEATTLE BOEING FIELD, WA US",4/30/24,0,,56,43
USW00024234,"SEATTLE BOEING FIELD, WA US",5/1/24,0,,60,40
USW00024234,"SEATTLE BOEING FIELD, WA US",5/2/24,0,,67,44
USW00024234,"SEATTLE BOEING FIELD, WA US",5/3/24,0,,68,45
USW00024234,"SEATTLE BOEING FIELD, WA US",5/4/24,0.04,,58,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/5/24,0.04,,54,49
USW00024234,"SEATTLE BOEING FIELD, WA US",5/6/24,0.09,,57,47
USW00024234,"SEATTLE BOEING FIELD, WA US",5/7/24,0.08,,61,44
USW00024234,"SEATTLE BOEING FIELD, WA US",5/8/24,0,,66,44
USW00024234,"SEATTLE BOEING FIELD, WA US",5/9/24,0,,75,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/10/24,0,,83,51
USW00024234,"SEATTLE BOEING FIELD, WA US",5/11/24,0,,85,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/12/24,0,,76,55
USW00024234,"SEATTLE BOEING FIELD, WA US",5/13/24,0,,65,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/14/24,0,,73,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/15/24,0,,76,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/16/24,0.03,,66,51
USW00024234,"SEATTLE BOEING FIELD, WA US",5/17/24,0,,63,47
USW00024234,"SEATTLE BOEING FIELD, WA US",5/18/24,0.01,,57,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/19/24,0,,64,46
USW00024234,"SEATTLE BOEING FIELD, WA US",5/20/24,0,,67,47
USW00024234,"SEATTLE BOEING FIELD, WA US",5/21/24,0.48,,54,49
USW00024234,"SEATTLE BOEING FIELD, WA US",5/22/24,0.01,,61,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/23/24,0,,63,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/24/24,0.03,,58,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/25/24,0,,60,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/26/24,0.04,,60,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/27/24,0,,68,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/28/24,0,,62,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/29/24,0.13,,61,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/30/24,0,,63,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/31/24,0,,71,47
USW00024234,"SEATTLE BOEING FIELD, WA US",6/1/24,0,,66,55
USW00024234,"SEATTLE BOEING FIELD, WA US",6/2/24,0.45,,61,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/3/24,0.25,,61,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/4/24,0.09,,63,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/5/24,0,,68,49
USW00024234,"SEATTLE BOEING FIELD, WA US",6/6/24,0,,72,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/7/24,0,,76,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/8/24,0,,80,54
USW00024234,"SEATTLE BOEING FIELD, WA US",6/9/24,0,,73,55
USW00024234,"SEATTLE BOEING FIELD, WA US",6/10/24,0,,71,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/11/24,0,,68,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/12/24,0,,68,54
USW00024234,"SEATTLE BOEING FIELD, WA US",6/13/24,0,,71,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/14/24,0,,66,50
USW00024234,"SEATTLE BOEING FIELD, WA US",6/15/24,0.14,,63,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/16/24,0,,64,50
USW00024234,"SEATTLE BOEING FIELD, WA US",6/17/24,0,,63,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/18/24,0,,69,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/19/24,0,,78,53
USW00024234,"SEATTLE BOEING FIELD, WA US",6/20/24,0,,82,59
USW00024234,"SEATTLE BOEING FIELD, WA US",6/21/24,0,,87,60
USW00024234,"SEATTLE BOEING FIELD, WA US",6/22/24,0,,78,58
USW00024234,"SEATTLE BOEING FIELD, WA US",6/23/24,0,,68,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/24/24,0,,71,55
USW00024234,"SEATTLE BOEING FIELD, WA US",6/25/24,0,,80,55
USW00024234,"SEATTLE BOEING FIELD, WA US",6/26/24,0.03,,71,58
USW00024234,"SEATTLE BOEING FIELD, WA US",6/27/24,0.03,,64,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/28/24,0,,72,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/29/24,0.02,,76,57
USW00024234,"SEATTLE BOEING FIELD, WA US",6/30/24,0,,78,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/1/24,0,,77,63
USW00024234,"SEATTLE BOEING FIELD, WA US",7/2/24,0,,73,57
USW00024234,"SEATTLE BOEING FIELD, WA US",7/3/24,0,,77,56
USW00024234,"SEATTLE BOEING FIELD, WA US",7/4/24,0,,82,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/5/24,0,,88,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/6/24,0,,91,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/7/24,0,,93,63
USW00024234,"SEATTLE BOEING FIELD, WA US",7/8/24,0,,94,67
USW00024234,"SEATTLE BOEING FIELD, WA US",7/9/24,0,,97,67
USW00024234,"SEATTLE BOEING FIELD, WA US",7/10/24,0,,88,66
USW00024234,"SEATTLE BOEING FIELD, WA US",7/11/24,0,,84,64
USW00024234,"SEATTLE BOEING FIELD, WA US",7/12/24,0,,83,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/13/24,0,,87,63
USW00024234,"SEATTLE BOEING FIELD, WA US",7/14/24,0,,86,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/15/24,0,,80,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/16/24,0,,88,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/17/24,0,,86,65
USW00024234,"SEATTLE BOEING FIELD, WA US",7/18/24,0,,86,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/19/24,0,,85,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/20/24,0,,86,63
USW00024234,"SEATTLE BOEING FIELD, WA US",7/21/24,0,,81,63
USW00024234,"SEATTLE BOEING FIELD, WA US",7/22/24,0,,69,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/23/24,0,,76,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/24/24,0,,79,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/25/24,0,,75,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/26/24,0,,77,56
USW00024234,"SEATTLE BOEING FIELD, WA US",7/27/24,0,,80,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/28/24,0,,71,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/29/24,0.05,,71,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/30/24,0.01,,78,64
USW00024234,"SEATTLE BOEING FIELD, WA US",7/31/24,0,,80,62
USW00024234,"SEATTLE BOEING FIELD, WA US",8/1/24,0,,84,63
USW00024234,"SEATTLE BOEING FIELD, WA US",8/2/24,0,,89,67
USW00024234,"SEATTLE BOEING FIELD, WA US",8/3/24,0,,84,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/4/24,0,,88,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/5/24,0,,80,59
USW00024234,"SEATTLE BOEING FIELD, WA US",8/6/24,0,,72,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/7/24,0,,80,59
USW00024234,"SEATTLE BOEING FIELD, WA US",8/8/24,0,,85,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/9/24,0,,87,65
USW00024234,"SEATTLE BOEING FIELD, WA US",8/10/24,0,,80,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/11/24,0,,73,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/12/24,0,,75,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/13/24,0,,73,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/14/24,0,,79,62
USW00024234,"SEATTLE BOEING FIELD, WA US",8/15/24,0,,77,62
USW00024234,"SEATTLE BOEING FIELD, WA US",8/16/24,0,,76,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/17/24,0.51,,78,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/18/24,0.01,,81,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/19/24,0,,78,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/20/24,0.06,,70,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/21/24,0,,71,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/22/24,0.1,,73,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/23/24,0.32,,62,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/24/24,0.21,,65,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/25/24,0,,75,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/26/24,0.11,,75,55
USW00024234,"SEATTLE BOEING FIELD, WA US",8/27/24,0.06,,69,56
USW00024234,"SEATTLE BOEING FIELD, WA US",8/28/24,0,,70,49
USW00024234,"SEATTLE BOEING FIELD, WA US",8/29/24,,,76,54
USW00024234,"SEATTLE BOEING FIELD, WA US",8/30/24,0,,82,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/31/24,0,,83,60
USW00024234,"SEATTLE BOEING FIELD, WA US",9/1/24,0,,84,62
USW00024234,"SEATTLE BOEING FIELD, WA US",9/2/24,0,,72,62
USW00024234,"SEATTLE BOEING FIELD, WA US",9/3/24,0,,73,62
USW00024234,"SEATTLE BOEING FIELD, WA US",9/4/24,0,,79,58
USW00024234,"SEATTLE BOEING FIELD, WA US",9/5/24,0,,89,61
USW00024234,"SEATTLE BOEING FIELD, WA US",9/6/24,0,,85,64
USW00024234,"SEATTLE BOEING FIELD, WA US",9/7/24,0,,78,64
USW00024234,"SEATTLE BOEING FIELD, WA US",9/8/24,0,,77,61
USW00024234,"SEATTLE BOEING FIELD, WA US",9/9/24,,,71,60
USW00024234,"SEATTLE BOEING FIELD, WA US",9/10/24,0,,73,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/11/24,0.14,,70,56
USW00024234,"SEATTLE BOEING FIELD, WA US",9/12/24,0,,71,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/13/24,0.04,,67,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/14/24,0.11,,68,58
USW00024234,"SEATTLE BOEING FIELD, WA US",9/15/24,0.01,,66,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/16/24,0,,71,50
USW00024234,"SEATTLE BOEING FIELD, WA US",9/17/24,0,,65,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/18/24,0,,71,59
USW00024234,"SEATTLE BOEING FIELD, WA US",9/19/24,0,,71,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/20/24,0.04,,67,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/21/24,0,,72,49
USW00024234,"SEATTLE BOEING FIELD, WA US",9/22/24,0,,72,52
USW00024234,"SEATTLE BOEING FIELD, WA US",9/23/24,0,,75,61
USW00024234,"SEATTLE BOEING FIELD, WA US",9/24/24,0,,78,60
USW00024234,"SEATTLE BOEING FIELD, WA US",9/25/24,0.14,,68,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/26/24,0,,69,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/27/24,0,,69,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/28/24,0,,65,51
USW00024234,"SEATTLE BOEING FIELD, WA US",9/29/24,0,,63,51
USW00024234,"SEATTLE BOEING FIELD, WA US",9/30/24,0,,67,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/1/24,0,,69,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/2/24,0,,66,52
USW00024234,"SEATTLE BOEING FIELD, WA US",10/3/24,0,,66,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/4/24,0.44,,63,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/5/24,0,,63,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/6/24,0,,70,46
USW00024234,"SEATTLE BOEING FIELD, WA US",10/7/24,0,,78,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/8/24,0.23,,68,56
USW00024234,"SEATTLE BOEING FIELD, WA US",10/9/24,0.01,,64,37
USW00024234,"SEATTLE BOEING FIELD, WA US",10/10/24,0,,62,28
USW00024234,"SEATTLE BOEING FIELD, WA US",10/11/24,0,,60,18
USW00024234,"SEATTLE BOEING FIELD, WA US",10/12/24,0,,67,45
USW00024234,"SEATTLE BOEING FIELD, WA US",10/13/24,0,,75,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/14/24,0,,67,54
USW00024234,"SEATTLE BOEING FIELD, WA US",10/15/24,0,,61,55
USW00024234,"SEATTLE BOEING FIELD, WA US",10/16/24,0.02,,63,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/17/24,0.05,,56,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/18/24,0.02,,55,46
USW00024234,"SEATTLE BOEING FIELD, WA US",10/19/24,0,,67,55
USW00024234,"SEATTLE BOEING FIELD, WA US",10/20/24,0.01,,68,53
USW00024234,"SEATTLE BOEING FIELD, WA US",10/21/24,0.11,,57,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/22/24,0,,59,44
USW00024234,"SEATTLE BOEING FIELD, WA US",10/23/24,0,,54,43
USW00024234,"SEATTLE BOEING FIELD, WA US",10/24/24,0,,57,45
USW00024234,"SEATTLE BOEING FIELD, WA US",10/25/24,0.07,,61,46
USW00024234,"SEATTLE BOEING FIELD, WA US",10/26/24,0.23,,62,52
USW00024234,"SEATTLE BOEING FIELD, WA US",10/27/24,0.45,,59,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/28/24,0.07,,56,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/29/24,0,,56,42
USW00024234,"SEATTLE BOEING FIELD, WA US",10/30/24,0.21,,53,43
USW00024234,"SEATTLE BOEING FIELD, WA US",10/31/24,0.32,,53,40
USW00024234,"SEATTLE BOEING FIELD, WA US",11/1/24,0.26,,53,46
USW00024234,"SEATTLE BOEING FIELD, WA US",11/2/24,0.11,,54,47
USW00024234,"SEATTLE BOEING FIELD, WA US",11/3/24,0,,54,48
USW00024234,"SEATTLE BOEING FIELD, WA US",11/4/24,0.25,,59,44
USW00024234,"SEATTLE BOEING FIELD, WA US",11/5/24,0.01,,54,42
USW00024234,"SEATTLE BOEING FIELD, WA US",11/6/24,0,,57,41
USW00024234,"SEATTLE BOEING FIELD, WA US",11/7/24,0,,60,36
USW00024234,"SEATTLE BOEING FIELD, WA US",11/8/24,0,,63,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/9/24,0.02,,53,48
USW00024234,"SEATTLE BOEING FIELD, WA US",11/10/24,0.31,,58,50
USW00024234,"SEATTLE BOEING FIELD, WA US",11/11/24,0.83,,54,48
USW00024234,"SEATTLE BOEING FIELD, WA US",11/12/24,0.14,,56,49
USW00024234,"SEATTLE BOEING FIELD, WA US",11/13/24,0.36,,57,49
USW00024234,"SEATTLE BOEING FIELD, WA US",11/14/24,0.27,,52,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/15/24,0,,51,41
USW00024234,"SEATTLE BOEING FIELD, WA US",11/16/24,0,,48,37
USW00024234,"SEATTLE BOEING FIELD, WA US",11/17/24,0.11,,52,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/18/24,0.09,,46,40
USW00024234,"SEATTLE BOEING FIELD, WA US",11/19/24,0.05,,50,37
USW00024234,"SEATTLE BOEING FIELD, WA US",11/20/24,0.26,,55,41
USW00024234,"SEATTLE BOEING FIELD, WA US",11/21/24,0,,52,40
USW00024234,"SEATTLE BOEING FIELD, WA US",11/22/24,0.25,,59,45
USW00024234,"SEATTLE BOEING FIELD, WA US",11/23/24,0.02,,52,40
USW00024234,"SEATTLE BOEING FIELD, WA US",11/24/24,0.07,,48,42
USW00024234,"SEATTLE BOEING FIELD, WA US",11/25/24,0.17,,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",11/26/24,0,,48,44
USW00024234,"SEATTLE BOEING FIELD, WA US",11/27/24,0,,48,37
USW00024234,"SEATTLE BOEING FIELD, WA US",11/28/24,0,,47,34
USW00024234,"SEATTLE BOEING FIELD, WA US",11/29/24,0,,44,35
USW00024234,"SEATTLE BOEING FIELD, WA US",11/30/24,0,,48,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/1/24,0,,51,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/2/24,0,,43,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/3/24,0,,45,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/4/24,0,,40,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/5/24,0,,54,30
USW00024234,"SEATTLE BOEING FIELD, WA US",12/6/24,0,,51,36
USW00024234,"SEATTLE BOEING FIELD, WA US",12/7/24,0.49,,53,47
USW00024234,"SEATTLE BOEING FIELD, WA US",12/8/24,0.01,,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",12/9/24,0,,51,38
USW00024234,"SEATTLE BOEING FIELD, WA US",12/10/24,0,,47,35
USW00024234,"SEATTLE BOEING FIELD, WA US",12/11/24,0,,51,33
USW00024234,"SEATTLE BOEING FIELD, WA US",12/12/24,0,,49,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/13/24,0.41,,47,40
USW00024234,"SEATTLE BOEING FIELD, WA US",12/14/24,0.1,,51,42
USW00024234,"SEATTLE BOEING FIELD, WA US",12/15/24,0,,49,40
